,Product status,Ad format,RECALL POTENTIAL INDEX,VISIBILITY INDEX,BRAND LINKAGE INDEX,"Ad length (TV, Radio)",Likeability Top,Likeability Top2,Likeability Bottom,Is believable Top,Is believable Top2,Think new way Top,Think new way Top2,Makes me feel good about x Top,Makes me feel good about x Top2,Is entertaining Top,Is entertaining Top2,Is unique Top,Is unique Top2,Is irritating Top,Is irritating Top2,Like to see on TV Top,Like to see on TV Top2,Is informative Top,Is informative Top2,For people like me Top,For people like me Top2,People will talk about Top,People will talk about Top2,Told me sthg new Top,Told me sthg new Top2,Brand Diff Top,Brand Diff Top2,Fits with way Top,Fits with way Top2,Told important Top,Told important Top2,Stirred my emotions Top,Stirred my emotions Top2,Is confusing Top,Is confusing Top2,Notice & remember Top,Notice & remember Top2,Clarity Top,Clarity Top2,Chance_Opinion Top,Chance_Opinion Top2,Mesaj İletimi (Top2Box),Mesaj İnandırıcılığı (Top2Box),Mesaj Hitap (Top2Box)
0,Relaunch of existing product,Finished,140.0,142.0,115.0,31.0,43.0,78.0,4.0,44.0,81.0,45.0,84.0,52.0,82.0,45.0,83.0,37.0,68.0,16.0,33.0,37.7,42.3,47.0,86.0,46.0,84.0,33.0,74.0,49.0,85.0,43.0,79.0,48.0,90.0,36.0,77.0,47.0,77.0,17.0,41.0,38.0,67.0,60.0,92.0,84.7,77.3,70.0,65.0,64.0
1,Existing,Finished,178.0,157.0,143.0,57.0,82.0,94.0,1.0,67.0,92.0,44.0,88.0,60.0,91.0,47.0,86.0,42.0,85.0,7.0,15.0,57.0,91.0,63.0,90.0,62.0,86.0,57.0,87.0,37.0,82.0,47.0,88.0,61.0,89.0,68.0,94.0,62.0,88.0,5.0,19.0,56.0,89.0,54.0,94.0,91.7,89.3,87.0,88.0,86.0
2,New,Animatic,141.0,125.0,127.0,52.0,45.0,74.0,1.0,33.0,76.0,25.0,72.0,34.0,78.0,52.0,90.0,30.0,73.0,14.0,40.0,31.0,76.0,40.0,93.0,25.0,77.0,29.0,81.0,33.0,84.0,31.0,75.0,35.0,75.0,24.0,66.0,30.0,73.0,13.0,43.0,35.0,77.0,34.0,93.0,21.0,62.0,58.0,55.0,47.0
3,New,Animatic,128.0,106.0,128.0,49.0,31.0,71.0,4.0,28.0,81.0,27.0,76.0,34.0,80.0,48.0,85.0,29.0,71.0,6.0,27.0,33.0,76.0,35.0,85.0,23.0,75.0,28.0,77.0,44.0,83.0,31.0,77.0,28.0,82.0,18.0,72.0,23.0,75.0,13.0,32.0,28.0,73.0,42.0,96.0,20.0,54.0,47.0,44.0,40.0
4,New,Finished,130.0,132.0,111.0,27.0,56.0,83.0,4.0,53.0,90.0,49.0,87.0,58.0,88.0,42.0,87.0,26.0,71.0,8.0,24.0,37.0,82.0,63.0,92.0,50.0,87.0,33.0,80.0,58.0,93.0,50.0,91.0,52.0,90.0,53.0,87.0,36.0,79.0,6.0,24.0,28.0,76.0,62.0,97.0,34.0,77.0,82.0,77.0,76.0
6,Relaunch of existing product,Animatic,124.4,123.8,110.6,30.0,40.0,75.0,55.5,36.0,77.0,29.0,77.0,38.0,79.0,45.0,82.0,21.0,67.0,12.0,31.0,30.0,71.0,41.0,81.0,34.0,72.0,27.0,74.0,34.0,83.0,29.0,71.0,33.0,81.0,61.0,41.0,21.0,70.0,10.0,33.0,33.0,75.0,33.0,75.0,71.3,67.7,64.0,57.0,59.0
7,Relaunch of existing product,Animatic,127.6,130.7,109.2,30.0,37.0,73.0,55.5,38.0,84.0,34.0,80.0,36.0,85.0,46.0,84.0,25.0,71.0,11.0,32.0,34.0,76.0,43.0,86.0,36.0,83.0,29.0,83.0,36.0,85.0,32.0,82.0,36.0,86.0,67.3,48.7,30.0,78.0,7.0,35.0,32.0,74.0,32.0,74.0,71.3,68.7,66.0,61.0,60.0
8,Existing,Finished,178.0,157.0,143.0,57.0,82.0,94.0,1.0,67.0,92.0,44.0,88.0,60.0,91.0,47.0,86.0,42.0,85.0,7.0,15.0,57.0,91.0,63.0,90.0,62.0,86.0,57.0,87.0,37.0,82.0,47.0,88.0,61.0,89.0,68.0,94.0,62.0,88.0,5.0,19.0,56.0,89.0,54.0,94.0,46.0,89.0,89.0,89.0,89.0
9,New,Finished,130.0,132.0,111.0,27.0,56.0,83.0,4.0,53.0,90.0,49.0,87.0,58.0,88.0,42.0,87.0,26.0,71.0,8.0,24.0,37.0,82.0,63.0,92.0,50.0,87.0,33.0,80.0,58.0,93.0,50.0,91.0,52.0,90.0,53.0,87.0,36.0,79.0,6.0,24.0,28.0,76.0,62.0,97.0,34.0,77.0,73.0,71.0,72.0
10,Relaunch of existing product,Videoboard,131.0,121.0,133.0,46.0,63.0,91.0,0.0,54.0,94.0,49.0,91.0,55.0,91.0,36.0,86.0,32.0,72.0,5.0,20.0,45.0,85.0,66.0,95.0,57.0,93.0,37.0,85.0,63.0,92.0,47.0,88.0,55.0,91.0,56.0,91.0,53.0,89.0,5.0,23.0,35.0,74.0,53.0,94.0,42.0,89.0,89.0,89.0,89.0
11,Relaunch of existing product,Videoboard,114.0,94.0,125.0,30.0,54.0,82.0,2.0,43.0,81.0,45.0,86.0,51.0,85.0,27.0,80.0,25.0,74.0,8.0,26.0,37.0,83.0,56.0,88.0,48.0,88.0,31.0,84.0,55.0,90.0,40.0,84.0,48.0,89.0,48.0,85.0,40.0,85.0,8.0,29.0,26.0,66.0,43.0,95.0,38.0,78.0,78.0,78.0,78.0
12,Relaunch of existing product,Videoboard,130.0,125.0,129.0,46.0,55.0,90.0,1.0,52.0,96.0,50.0,91.0,58.0,95.0,44.0,89.0,30.0,78.0,7.0,20.0,45.0,91.0,64.0,94.0,55.0,95.0,35.0,92.0,57.0,93.0,48.0,89.0,53.0,93.0,53.0,91.0,49.0,84.0,9.0,30.0,33.0,78.0,51.0,95.0,38.0,74.0,74.0,74.0,74.0
